,Product Name,Product URL,Tags
20,Floral Print Kanjivaram Pure Silk Saree,https://www.flipkart.com/waanmayi-floral-print-kanjivaram-pure-silk-saree/p/itm0ec28cddbde45?pid=SARGC2EKZECHFSH7&lid=LSTSARGC2EKZECHFSH7FCVIQN&marketplace=FLIPKART&store=clo%2F8on%2Fzpd%2F9og&srno=b_3_81&otracker=browse&fm=organic&iid=en_Nk056QXUeF2tTQLz8utkR1pO2ZBSFklZKgkLHezRiD0qUjtNasG2Sh1SYeC3AsokYMelBuN5MPY%2BADZ3jGgH3g%3D%3D&ppt=None&ppn=None&ssid=kyhlyiwso00000001684822724359,"floral,print,kanjivaram,pure,silk,saree"
21,Printed Bollywood Georgette Saree,https://www.flipkart.com/anand-sarees-printed-bollywood-georgette-saree/p/itm4060fafda3f35?pid=SARG6W4KF4FKJTMY&lid=LSTSARG6W4KF4FKJTMY0IAAVQ&marketplace=FLIPKART&store=clo%2F8on%2Fzpd%2F9og&srno=b_3_85&otracker=browse&fm=organic&iid=790d51cf-773a-470c-b37b-7bb7355fa476.SARG6W4KF4FKJTMY.SEARCH&ppt=None&ppn=None&ssid=kyhlyiwso00000001684822724359,"printed,bollywood,georgette,saree"
22,Woven Jamdani Jacquard Saree,https://www.flipkart.com/somvati-woven-jamdani-jacquard-saree/p/itmbc427005454f9?pid=SARGG4C24A23XFZW&lid=LSTSARGG4C24A23XFZW55PQSX&marketplace=FLIPKART&store=clo%2F8on%2Fzpd%2F9og&srno=b_3_89&otracker=browse&fm=organic&iid=790d51cf-773a-470c-b37b-7bb7355fa476.SARGG4C24A23XFZW.SEARCH&ppt=None&ppn=None&ssid=kyhlyiwso00000001684822724359,"woven,jamdani,jacquard,saree"
23,Solid/Plain Bollywood Georgette Saree,https://www.flipkart.com/conveycloth-solid-plain-bollywood-georgette-saree/p/itm6b2ba13656e7a?pid=SARGHV4WVSQSGPJ2&lid=LSTSARGHV4WVSQSGPJ2WC6KVQ&marketplace=FLIPKART&store=clo%2F8on%2Fzpd%2F9og&srno=b_3_93&otracker=browse&fm=organic&iid=790d51cf-773a-470c-b37b-7bb7355fa476.SARGHV4WVSQSGPJ2.SEARCH&ppt=None&ppn=None&ssid=kyhlyiwso00000001684822724359,"solidplain,bollywood,georgette,saree"
24,"Embroidered Bollywood Silk Blend, Art Silk Saree",https://www.flipkart.com/vaidehi-fashion-embroidered-bollywood-silk-blend-art-saree/p/itmde2db8666a0d7?pid=SARFZ3ZFD2ZDQSR7&lid=LSTSARFZ3ZFD2ZDQSR776JKHJ&marketplace=FLIPKART&store=clo%2F8on%2Fzpd%2F9og&srno=b_3_97&otracker=browse&fm=organic&iid=en_Nk056QXUeF2tTQLz8utkR1pO2ZBSFklZKgkLHezRiD1j3PSK8DChGfEX0TXvF8wGpCYTeLqYF57pmvqgHCAH1A%3D%3D&ppt=None&ppn=None&ssid=kyhlyiwso00000001684822724359,"embroidered,bollywood,silk,blend,art,silk,saree"
25,Self Design Banarasi Cotton Silk Saree,https://www.flipkart.com/fine-wear-self-design-banarasi-cotton-silk-saree/p/itmcb0ca28f347e9?pid=SARFNYZBTGGHV7Y2&lid=LSTSARFNYZBTGGHV7Y2LD5IJU&marketplace=FLIPKART&store=clo%2F8on%2Fzpd%2F9og&srno=b_3_101&otracker=browse&fm=organic&iid=en_Nk056QXUeF2tTQLz8utkR1pO2ZBSFklZKgkLHezRiD2PiBJQrb6SbApkCKUzSlnWHek842w8bxAMJDkqIdz%2F7w%3D%3D&ppt=None&ppn=None&ssid=kyhlyiwso00000001684822724359,"self,design,banarasi,cotton,silk,saree"
26,Printed Bollywood Georgette Saree,https://www.flipkart.com/leelavati-printed-bollywood-georgette-saree/p/itmcdc5d92f5cbca?pid=SARGDVYZGHHBDFFT&lid=LSTSARGDVYZGHHBDFFTF9TGE4&marketplace=FLIPKART&store=clo%2F8on%2Fzpd%2F9og&srno=b_3_105&otracker=browse&fm=organic&iid=790d51cf-773a-470c-b37b-7bb7355fa476.SARGDVYZGHHBDFFT.SEARCH&ppt=None&ppn=None&ssid=kyhlyiwso00000001684822724359,"printed,bollywood,georgette,saree"
27,Woven Banarasi Cotton Silk Saree,https://www.flipkart.com/cosbila-fashion-woven-banarasi-cotton-silk-saree/p/itmf59ccdc579363?pid=SARG474PN5YFEAZK&lid=LSTSARG474PN5YFEAZK6U497J&marketplace=FLIPKART&store=clo%2F8on%2Fzpd%2F9og&srno=b_3_109&otracker=browse&fm=organic&iid=790d51cf-773a-470c-b37b-7bb7355fa476.SARG474PN5YFEAZK.SEARCH&ppt=None&ppn=None&ssid=kyhlyiwso00000001684822724359,"woven,banarasi,cotton,silk,saree"
28,"Printed, Geometric Print, Floral Print Mysore Silk Blen...",https://www.flipkart.com/samah-printed-geometric-print-floral-print-mysore-silk-blend-cotton-saree/p/itm3a6c1927e8f33?pid=SARGBUGFK7RC6WG5&lid=LSTSARGBUGFK7RC6WG5P2BT9Y&marketplace=FLIPKART&store=clo%2F8on%2Fzpd%2F9og&srno=b_3_113&otracker=browse&fm=organic&iid=790d51cf-773a-470c-b37b-7bb7355fa476.SARGBUGFK7RC6WG5.SEARCH&ppt=None&ppn=None&ssid=kyhlyiwso00000001684822724359,"printed,geometric,print,floral,print,mysore,silk,blen"
29,Floral Print Banarasi Silk Blend Saree,https://www.flipkart.com/ishika-fab-floral-print-banarasi-silk-blend-saree/p/itmffe256161a42e?pid=SARGZT8CT8HCUQAV&lid=LSTSARGZT8CT8HCUQAVPMUFLW&marketplace=FLIPKART&store=clo%2F8on%2Fzpd%2F9og&srno=b_3_117&otracker=browse&fm=organic&iid=en_Nk056QXUeF2tTQLz8utkR1pO2ZBSFklZKgkLHezRiD0Xg7nYiBFLdDG1Ckly3lclYs%2BKKPdTNE8YWxS1lAVd3Q%3D%3D&ppt=None&ppn=None&ssid=kyhlyiwso00000001684822724359,"floral,print,banarasi,silk,blend,saree"
